APT_ICAO;APT_NAME;LAT;LONG
FEFM;BAMBARI;5,84700;20,649
FEFN;NDELE;8,42700;20,635
FEFO;BOUAR;5,95800;15,637
FEFR;BRIA;6,52800;21,989
FEFS;;0,00000;0
FEFT;BERBERATI;4,22100;15,786
FEFY;YALINGA;45,15400;-89,111
FEFZ;;0,00000;0
FEGZ;;0,00000;0
FGBT;BATA;1,90500;9,806
FGSL;MALABO;3,75500;8,709
FHAW;ASCENSION AUX AF;-7,96900;-14,394
FIMP;SIR SEEWOOSAGUR RAMGOOLAM INTERNATIONAL;-20,43000;57,683
FIMR;PLAINE CORAIL;-19,75800;63,362
FJDG;DIEGO GARCIA NSF;-7,31300;72,411
FKAB;;0,00000;0
FKAF;;0,00000;0
FKAG;;0,00000;0
FKAL;;0,00000;0
FKAN;;0,00000;0
FKAO;;0,00000;0
FKKB;;0,00000;0
FKKC;TIKO;4,08900;9,36
FKKD;DOUALA;4,00600;9,719
FKKE;;0,00000;0
FKKF;;0,00000;0
FKKG;;0,00000;0
FKKH;;0,00000;0
FKKI;BATOURI;4,47300;14,364
FKKJ;;0,00000;0
FKKL;MAROUA SALAK;10,45100;14,257
FKKM;FOUMBAN NKOUNJA;5,63700;10,751
FKKN;NGAOUNDERE;7,35700;13,559
FKKO;;0,00000;0
FKKR;GAROUA;9,33600;13,37
FKKS;;0,00000;0
FKKT;;0,00000;0
FKKU;BAFOUSSAM;5,53700;10,354
FKKV;BAMENDA;6,03900;10,123
FKKW;;0,00000;0
FKKY;YAOUNDE;3,83500;11,524
FLAT;;0,00000;0
FLCH;;0,00000;0
FLCP;;0,00000;0
FLCS;;0,00000;0
FLDE;;0,00000;0
FLEA;;0,00000;0
FLEB;;0,00000;0
FLEC;;0,00000;0
FLED;;0,00000;0
FLEE;;0,00000;0
FLEF;;0,00000;0
FLEG;;0,00000;0
FLEH;;0,00000;0
FLFW;;0,00000;0
FLGE;;0,00000;0
FLGW;;0,00000;0
FLIK;;0,00000;0
FLIS;;0,00000;0
FLKB;;0,00000;0
FLKD;;0,00000;0
FLKE;KASOMPE;-12,57300;27,894
FLKG;;0,00000;0
FLKJ;;0,00000;0
FLKK;;0,00000;0
FLKL;KALABO;-14,99700;22,648
FLKO;;0,00000;0
FLKS;;0,00000;0
FLKU;;0,00000;0
FLKW;;0,00000;0
FLKY;;0,00000;0
FLKZ;;0,00000;0
FLLA;;0,00000;0
FLLD;;0,00000;0
FLLI;LIVINGSTONE;-17,82200;25,822
FLLK;;0,00000;0
FLLO;;0,00000;0
FLLS;LUSAKA INTERNATIONAL;-15,33100;28,453
FLLU;;0,00000;0
FLLY;;0,00000;0
FLMA;MANSA;-11,13800;28,875
FLMB;;0,00000;0
FLMD;;0,00000;0
FLMF;MFUWE;-13,25900;31,936
FLMG;MONGU;-15,25400;23,162
FLMI;;0,00000;0
FLMK;;0,00000;0
FLML;MUFULIRA;-12,56500;28,299
FLMM;;0,00000;0
FLMO;;0,00000;0
FLMP;;0,00000;0
FLMT;;0,00000;0
FLMU;;0,00000;0
FLMW;;0,00000;0
FLMZ;;0,00000;0
FLNA;;0,00000;0
FLND;NDOLA;-12,99800;28,665
FLNL;;0,00000;0
FLNY;;0,00000;0
FLPA;;0,00000;0
FLPE;;0,00000;0
FLPK;;0,00000;0
FLPO;;0,00000;0
FLRG;;0,00000;0
FLRO;;0,00000;0
FLRU;;0,00000;0
FLSA;;0,00000;0
FLSE;;0,00000;0
FLSH;;0,00000;0
FLSJ;;0,00000;0
FLSM;;0,00000;0
FLSN;;0,00000;0
FLSO;SOUTHDOWNS;-12,90000;28,15
FLSS;;0,00000;0
FLSW;;0,00000;0
FLWA;;0,00000;0
FLWB;;0,00000;0
FLWC;;0,00000;0
FLWD;;0,00000;0
FLWE;;0,00000;0
FLWF;;0,00000;0
FLWG;;0,00000;0
FLWW;;0,00000;0
FLYA;;0,00000;0
FLZB;ZAMBEZI;-13,53900;23,11
FMCH;MORONI HAHAIA;-11,53400;43,272
FMCI;MOHELI BANDAR ES SALAM;-12,29800;43,766
FMCN;MORONI ICONI;-11,71100;43,244
FMCV;ANJOUAN OUANI;-12,13200;44,43
FMCZ;DZAOUDZI PAMANZI;-12,80500;45,281
FMEE;ST DENIS GILLOT;-20,88700;55,51
FMEP;ST PIERRE PIERREFONDS;-21,32100;55,425
FMMC;;0,00000;0
FMME;;0,00000;0
FMMG;;0,00000;0
FMMH;;0,00000;0
FMMI;ANTANANARIVO IVATO;-18,79700;47,479
FMMJ;;0,00000;0
FMMK;;0,00000;0
FMML;;0,00000;0
FMMN;MIANDRIVAZO;-19,56300;45,451
FMMO;;0,00000;0
FMMP;;0,00000;0
FMMQ;;0,00000;0
FMMR;;0,00000;0
FMMS;SAINTE MARIE;-17,09400;49,816
FMMT;TOAMASINA;-18,10900;49,392
FMMU;;0,00000;0
FMMV;MORONDAVA;-20,28500;44,318
FMMX;;0,00000;0
FMMY;;0,00000;0
FMMZ;;0,00000;0
FMNA;ANTSIRANANA ARRACHART;-12,34900;49,292
FMNC;MANANARA AVARATRA;-16,16400;49,774
FMND;ANDAPA;-14,65200;49,621
FMNE;AMBILOBE MAHAVAVY;-13,18800;48,988
FMNF;;0,00000;0
FMNG;;0,00000;0
FMNH;ANTALAHA ANTSIRABATO;-14,99900;50,32
FMNJ;;0,00000;0
FMNK;;0,00000;0
FMNL;ANALALAVA;-14,62900;47,764
FMNM;MAHAJANGA PHILIBERT TSIRANANA;-15,66700;46,352
FMNN;NOSY BE FASCENE;-13,31200;48,314
FMNO;;0,00000;0
FMNP;;0,00000;0
FMNQ;BESALAMPY;-16,74200;44,481
FMNR;MAROANTSETRA;-15,43700;49,688
FMNS;SAMBAVA SUD;-14,27900;50,175
FMNT;;0,00000;0
FMNV;VOHIMARINA;-13,37600;50,003
FMNW;ANTSOHIHY AMBALABE;-14,89900;47,994
FMNX;;0,00000;0
FMNZ;AMPAMPAMENA;-13,48500;48,633
FMSA;;0,00000;0
FMSB;;0,00000;0
FMSC;;0,00000;0
FMSD;TOLAGNARO;-25,03800;46,956
FMSE;;0,00000;0
FMSF;FIANARANTSOA;-21,44100;47,112
FMSG;FARAFANGANA;-22,80500;47,821
FMSI;;0,00000;0
FMSJ;;0,00000;0
FMSK;MANAKARA SUD;-22,12000;48,022
FMSL;;0,00000;0
FMSM;MANANJARY;-21,20200;48,358
FMSN;;0,00000;0
FMSO;;0,00000;0
FMSR;MOROMBE;-21,75400;43,375
FMST;TOLIARA;-23,38300;43,728
FMSV;;0,00000;0
FMSY;;0,00000;0
FMSZ;;0,00000;0
FNAM;;0,00000;0
FNBC;MBANZA CONGO;-6,27000;14,247
FNBG;BENGUELA;-12,60900;13,404
FNCA;CABINDA;-5,59700;12,188
FNCB;;0,00000;0
FNCC;;0,00000;0
FNCH;CHITATO;-7,35700;20,804
FNCM;;0,00000;0
FNCV;;0,00000;0
FNCX;CAMAXILO;-8,37400;18,924
FNCZ;CAZOMBO;-11,89400;22,916
FNDB;;0,00000;0
FNGI;NGIVA;-17,04500;15,687
FNGU;;0,00000;0
FNHU;HUAMBO;-12,80900;15,76
FNKU;KUITO;-12,40400;16,947
FNLB;LOBITO;-12,37100;13,536
FNLU;LUANDA 4 DE FEVEREIRO;-8,85800;13,231
FNMA;MALANJE;-9,52500;16,312
FNME;MENONGUE;-14,65800;17,72
FNMO;NAMIBE;-15,26100;12,147
FNMQ;;0,00000;0
FNNG;NEGAGE;-7,75400;15,287
FNPA;PORTO AMBOIM;-10,72200;13,765
FNPB;;0,00000;0
FNSA;SAURIMO;-9,68900;20,432
FNSO;SOYO;-6,14100;12,372
FNTO;TOTO;-7,14700;14,248
FNUA;;0,00000;0
FNUB;;0,00000;0
FNUE;LUENA;-11,76800;19,898
FNUG;UIGE;-7,60300;15,028
FNWK;;0,00000;0
FNXA;XANGONGO;-16,75500;14,965
FNZE;;0,00000;0
FOBI;;0,00000;0
FOGB;;0,00000;0
FOGE;;0,00000;0
FOGF;;0,00000;0
FOGG;;0,00000;0
FOGI;;0,00000;0
FOGJ;;0,00000;0
FOGO;OYEM;1,54100;11,581
FOGQ;OKONDJA;-0,66500;13,673
FOGR;LAMBARENE;-0,70400;10,246
FOGV;;0,00000;0
FOGW;;0,00000;0
FOOA;;0,00000;0
FOOB;BITAM;2,07600;11,493
FOOD;MOANDA;-1,53700;13,269
FOOE;;0,00000;0
FOOG;PORT GENTIL;-0,71200;8,754
FOOH;OMBOUE HOPITAL;-1,57500;9,263
FOOI;;0,00000;0
FOOK;MAKOKOU;0,57900;12,891
FOOL;LIBREVILLE LEON M BA;0,45800;9,412
FOOM;MITZIC;0,77600;11,553
FOON;FRANCEVILLE MVENGUE;-1,65600;13,438
FOOR;LASTOURVILLE;-0,82600;12,747
FOOS;;0,00000;0
FOOT;TCHIBANGA;-2,88900;10,919
FOOY;;0,00000;0
FOP;;0,00000;0
FPPA;;0,00000;0
FPPR;PRINCIPE;1,66300;7,412
FPST;SAO TOME INTERNATIONAL;0,37800;6,712
FQAG;;0,00000;0
FQBR;BEIRA;-19,79600;34,907
FQCB;CUAMBA;-14,82000;36,532
FQCH;CHIMOIO;-19,15100;33,429
FQES;ESTIMA;-15,73400;32,757
FQFU;;0,00000;0
FQIA;;0,00000;0
FQIN;INHAMBANE;-23,87600;35,408
FQLC;LICHINGA;-13,27400;35,266
FQLU;LUMBO;-15,03300;40,672
FQMA;MAPUTO;-25,92100;32,573
FQMD;MUEDA;-11,67300;39,563
FQMP;MOCIMBOA DA PRAIA;-11,36200;40,355
FQMR;MARRUPA;-13,22500;37,552
FQMU;;0,00000;0
FQNC;NACALA;-14,48800;40,712
FQNP;NAMPULA;-15,10600;39,282
FQPB;PEMBA;-12,98700;40,522
FQPO;;0,00000;0
FQQL;QUELIMANE;-17,85600;36,869
FQSG;SONGO;-15,60200;32,773
FQTT;TETE CHINGOZI;-16,10500;33,64
FQUG;ULONGWE;-14,70400;34,352
FQVL;VILANKULO;-22,01800;35,313
FQXA;;0,00000;0
FSAL;ALPHONSE;-7,00500;52,726
FSDA;;0,00000;0
FSDR;DESROCHES;-5,69600;53,654
FSFA;FARQUHAR;-10,10900;51,176
FSIA;SEYCHELLES INTERNATIONAL;-4,67400;55,522
FSMA;;0,00000;0
FSPL;;0,00000;0
FSPP;PRASLIN;-4,31900;55,691
FSSA;;0,00000;0
FSSB;;0,00000;0
FSSC;COETIVY;-7,16400;56,264
FSSD;;0,00000;0
FSSF;;0,00000;0
FSSR;;0,00000;0
FTTA;SARH;9,15100;18,379
FTTB;;0,00000;0
FTTC;ABECHE;13,84700;20,844
FTTD;MOUNDOU;8,62000;16,068
FTTE;;0,00000;0
FTTF;;0,00000;0
FTTG;;0,00000;0
FTTI;;0,00000;0
FTTJ;NDJAMENA;12,13400;15,034
FTTK;;0,00000;0
FTTL;;0,00000;0
FTTM;;0,00000;0
FTTN;;0,00000;0
FTTP;PALA;9,37900;14,926
FTTR;;0,00000;0
FTTS;;0,00000;0
FTTU;;0,00000;0
FTTY;FAYA LARGEAU;17,91700;19,111
FTTZ;;0,00000;0
FVBB;;0,00000;0
FVBD;;0,00000;0
FVBI;;0,00000;0
FVBU;JOSHUA MQABUKO NKOMO INTERNATIONAL;-20,01700;28,618
FVCH;;0,00000;0
FVCP;HARARE CHARLES PRINCE;-17,75100;30,924
FVCZ;CHIREDZI BUFFALO RANGE;-21,00800;31,578
FVFA;VICTORIA FALLS INTERNATIONAL;-18,09600;25,839
FVGO;;0,00000;0
FVGR;MUTARE GRAND REEF;-18,97700;32,451
FVGW;;0,00000;0
FVHA;HARARE INTERNATIONAL;-17,93200;31,093
FVIN;;0,00000;0
FVKA;;0,00000;0
FVKB;KARIBA INTERNATIONAL;-16,52000;28,885
FVKK;;0,00000;0
FVMT;MUTOKO;-17,43200;32,184
FVMU;MUTARE;-18,99800;32,627
FVMV;MASVINGO;-20,05500;30,859
FVRU;;0,00000;0
FVSH;ZVISHAVANE;-20,28900;30,088
FVSV;;0,00000;0
FVTL;GWERU THORNHILL;-19,43700;29,862
FVWN;HWANGE NATIONAL PARK;-18,63000;27,021
FVZC;ZISCO;-19,02900;29,722
FWBG;;0,00000;0
FWCB;;0,00000;0
FWCC;;0,00000;0
FWCD;;0,00000;0
FWCL;CHILEKA INTERNATIONAL;-15,67900;34,974
FWCM;;0,00000;0
FWCS;;0,00000;0
FWCT;;0,00000;0
FWDW;;0,00000;0
FWDZ;;0,00000;0
FWKA;KARONGA;-9,95300;33,893
FWKB;;0,00000;0
FWKG;KASUNGU;-13,01400;33,468
FWKI;;0,00000;0
FWKK;;0,00000;0
FWLK;;0,00000;0
FWLP;;0,00000;0
FWMC;;0,00000;0
FWMG;MARIANNA MUNI;30,83800;-85,182
FWMY;;0,00000;0
FWMZ;;0,00000;0
FWSJ;;0,00000;0
FWSM;;0,00000;0
FWSU;;0,00000;0
FWUU;MZUZU;-11,44500;34,012
FXBB;;0,00000;0
FXKB;;0,00000;0
FXKY;;0,00000;0
FXLK;;0,00000;0
FXLR;;0,00000;0
FXLS;;0,00000;0
FXLT;;0,00000;0
FXMA;;0,00000;0
FXMF;;0,00000;0
FXMH;;0,00000;0
FXMK;;0,00000;0
FXML;;0,00000;0
FXMM;MOSHOESHOE I INTERNATIONAL;-29,46200;27,553
FXMN;;0,00000;0
FXMP;;0,00000;0
FXMS;;0,00000;0
FXMT;;0,00000;0
FXMU;MEJAMETALANA;-29,30400;27,503
FXMV;;0,00000;0
FXNH;;0,00000;0
FXNK;;0,00000;0
FXPG;;0,00000;0
FXQG;;0,00000;0
FXQN;;0,00000;0
FXSE;;0,00000;0
FXSH;;0,00000;0
FXSK;;0,00000;0
FXSM;;0,00000;0
FXSS;;0,00000;0
FXST;;0,00000;0
FXTA;;0,00000;0
FXTB;;0,00000;0
FXTK;;0,00000;0
FZAA;KINSHASA NDJILI INTERNATIONAL;-4,38600;15,444
FZAB;KINSHASA NDOLO;-4,32500;15,328
FZAD;;0,00000;0
FZAE;;0,00000;0
FZAF;;0,00000;0
FZAG;MUANDA;-5,93100;12,352
FZAH;;0,00000;0
FZAI;KITONA BASE;-5,91800;12,447
FZAJ;;0,00000;0
FZAL;;0,00000;0
FZAM;MATADI TSHIMPI;-5,79900;13,441
FZAN;;0,00000;0
FZAP;;0,00000;0
FZAR;;0,00000;0
FZAS;;0,00000;0
FZAU;;0,00000;0
FZAW;;0,00000;0
FZAX;;0,00000;0
FZAY;;0,00000;0
FZBA;;0,00000;0
FZBB;;0,00000;0
FZBC;;0,00000;0
FZBD;;0,00000;0
FZBE;;0,00000;0
FZBF;;0,00000;0
FZBG;;0,00000;0
FZBI;;0,00000;0
FZBJ;;0,00000;0
FZBK;;0,00000;0
FZBL;;0,00000;0
FZBM;;0,00000;0
FZBN;;0,00000;0
FZBO;BANDUNDU;-3,31100;17,382
FZBP;;0,00000;0
FZBQ;;0,00000;0
FZBS;;0,00000;0
FZBT;;0,00000;0
FZBU;;0,00000;0
FZBV;;0,00000;0
FZBW;;0,00000;0
FZCA;KIKWIT;-5,03600;18,786
FZCB;;0,00000;0
FZCD;;0,00000;0
FZCE;;0,00000;0
FZCF;;0,00000;0
FZCI;;0,00000;0
FZCK;;0,00000;0
FZCL;;0,00000;0
FZCO;;0,00000;0
FZCP;;0,00000;0
FZCR;;0,00000;0
FZCS;;0,00000;0
FZCT;;0,00000;0
FZCU;;0,00000;0
FZCV;;0,00000;0
FZCW;;0,00000;0
FZCX;;0,00000;0
FZCY;;0,00000;0
FZDA;;0,00000;0
FZDB;;0,00000;0
FZDC;;0,00000;0
FZDD;;0,00000;0
FZDE;;0,00000;0
FZDF;;0,00000;0
FZDG;;0,00000;0
FZDH;;0,00000;0
FZDJ;;0,00000;0
FZDK;;0,00000;0
FZDL;;0,00000;0
FZDM;;0,00000;0
FZDN;;0,00000;0
FZDO;;0,00000;0
FZDP;;0,00000;0
FZDT;;0,00000;0
FZDY;;0,00000;0
FZEA;MBANDAKA;0,02200;18,289
FZEB;;0,00000;0
FZEG;;0,00000;0
FZEI;;0,00000;0
FZEM;;0,00000;0
FZEN;;0,00000;0
FZEO;;0,00000;0
FZEP;;0,00000;0
FZER;;0,00000;0
FZFA;;0,00000;0
FZFB;;0,00000;0
FZFD;GBADOLITE;4,25300;20,975
FZFE;;0,00000;0
FZFF;;0,00000;0
FZFG;;0,00000;0
FZFH;;0,00000;0
FZFJ;;0,00000;0
FZFK;GEMENA;3,23500;19,771
FZFL;;0,00000;0
FZFN;;0,00000;0
FZFP;KOTAKOLI;4,15800;21,651
FZFQ;;0,00000;0
FZFS;;0,00000;0
FZFT;;0,00000;0
FZFU;;0,00000;0
FZFV;;0,00000;0
FZFW;;0,00000;0
FZGA;LISALA;2,17100;21,497
FZGB;;0,00000;0
FZGD;;0,00000;0
FZGE;;0,00000;0
FZGF;;0,00000;0
FZGG;;0,00000;0
FZGH;;0,00000;0
FZGI;;0,00000;0
FZGN;;0,00000;0
FZGT;;0,00000;0
FZGV;;0,00000;0
FZGY;;0,00000;0
FZIA;KISANGANI SIMISINI;0,51800;25,155
FZIF;;0,00000;0
FZIG;;0,00000;0
FZIK;;0,00000;0
FZIR;;0,00000;0
FZIZ;;0,00000;0
FZJB;;0,00000;0
FZJF;;0,00000;0
FZJH;ISIRO MATARI;2,82700;27,588
FZJI;;0,00000;0
FZJK;;0,00000;0
FZJR;;0,00000;0
FZKA;BUNIA;1,56600;30,221
FZKB;;0,00000;0
FZKC;;0,00000;0
FZKF;;0,00000;0
FZKI;;0,00000;0
FZKJ;BUTA ZEGA;2,81800;24,794
FZKN;;0,00000;0
FZKO;;0,00000;0
FZKP;;0,00000;0
FZMA;BUKAVU KAVUMU;-2,30900;28,809
FZMC;;0,00000;0
FZMK;;0,00000;0
FZMN;;0,00000;0
FZMP;;0,00000;0
FZMW;;0,00000;0
FZNA;GOMA;-1,67100;29,238
FZNC;;0,00000;0
FZNF;;0,00000;0
FZNI;;0,00000;0
FZNK;;0,00000;0
FZNM;;0,00000;0
FZNP;;0,00000;0
FZNR;;0,00000;0
FZNT;;0,00000;0
FZOA;KINDU;-2,91900;25,915
FZOB;;0,00000;0
FZOC;;0,00000;0
FZOD;;0,00000;0
FZOE;;0,00000;0
FZOF;;0,00000;0
FZOG;;0,00000;0
FZOH;;0,00000;0
FZOJ;;0,00000;0
FZOK;;0,00000;0
FZOO;;0,00000;0
FZOP;;0,00000;0
FZOS;;0,00000;0
FZPB;;0,00000;0
FZQA;LUBUMBASHI INTERNATIONAL;-11,59100;27,531
FZQC;;0,00000;0
FZQD;;0,00000;0
FZQF;;0,00000;0
FZQG;;0,00000;0
FZQH;;0,00000;0
FZQI;;0,00000;0
FZQJ;;0,00000;0
FZQM;KOLWEZI;-10,76600;25,506
FZQN;;0,00000;0
FZQO;;0,00000;0
FZQP;;0,00000;0
FZQU;;0,00000;0
FZQW;;0,00000;0
FZRA;;0,00000;0
FZRC;;0,00000;0
FZRD;;0,00000;0
FZRF;KALEMIE;-5,87600;29,25
FZRG;;0,00000;0
FZRJ;;0,00000;0
FZRK;;0,00000;0
FZRL;;0,00000;0
FZRN;;0,00000;0
FZRO;;0,00000;0
FZRQ;;0,00000;0
FZSA;KAMINA BASE;-8,64200;25,253
FZSB;;0,00000;0
FZSC;;0,00000;0
FZSD;;0,00000;0
FZSE;;0,00000;0
FZSI;;0,00000;0
FZSJ;;0,00000;0
FZSK;;0,00000;0
FZTK;;0,00000;0
FZTL;LUENA;-9,46900;25,759
FZTS;;0,00000;0
FZUA;KANANGA;-5,90000;22,469
FZUE;;0,00000;0
FZUF;;0,00000;0
FZUG;;0,00000;0
FZUH;;0,00000;0
FZUI;;0,00000;0
FZUJ;;0,00000;0
FZUK;;0,00000;0
FZUL;;0,00000;0
FZUM;;0,00000;0
FZUN;;0,00000;0
FZUO;;0,00000;0
FZUR;;0,00000;0
FZUS;;0,00000;0
FZUT;;0,00000;0
FZUU;;0,00000;0
FZUV;;0,00000;0
FZVA;;0,00000;0
FZVC;;0,00000;0
FZVD;;0,00000;0
FZVE;;0,00000;0
FZVF;;0,00000;0
FZVG;;0,00000;0
FZVH;;0,00000;0
FZVI;;0,00000;0
FZVJ;;0,00000;0
FZVK;;0,00000;0
FZVL;;0,00000;0
FZVM;;0,00000;0
FZVN;;0,00000;0
FZVO;;0,00000;0
FZVP;;0,00000;0
FZVR;;0,00000;0
FZVS;;0,00000;0
FZVT;;0,00000;0
FZVU;;0,00000;0
FZWA;MBUJI MAYI;-6,12100;23,569
FZWB;;0,00000;0
FZWC;;0,00000;0
FZWE;;0,00000;0
FZWF;;0,00000;0
FZWI;;0,00000;0
FZWR;;0,00000;0
FZWS;;0,00000;0
FZWT;;0,00000;0
GAAO;;0,00000;0
GABD;;0,00000;0
GABF;;0,00000;0
GABG;;0,00000;0
GABR;;0,00000;0
GABS;BAMAKO SENOU;12,53300;-7,95
GADA;;0,00000;0
GADZ;;0,00000;0
GAFD;;0,00000;0
GAGL;;0,00000;0
GAGM;;0,00000;0
GAGO;GAO;16,24800;-0,005
GAGR;;0,00000;0
GAHB;;0,00000;0
GAKA;;0,00000;0
GAKL;;0,00000;0
GAKM;;0,00000;0
GAKN;;0,00000;0
GAKO;;0,00000;0
GAKT;;0,00000;0
GAKY;KAYES;14,43100;-11,439
GAMA;;0,00000;0
GAMB;MOPTI AMBODEDJO;14,51300;-4,079
GAMK;;0,00000;0
GANF;;0,00000;0
GANK;;0,00000;0
GANR;NIORO;15,23900;-9,576
GASG;;0,00000;0
GASK;;0,00000;0
GASN;;0,00000;0
GATB;TOMBOUCTOU;16,73000;-3,007
GATN;;0,00000;0
GATS;TESSALIT;20,24600;0,981
GAYE;;0,00000;0
GBYD;BANJUL INTERNATIONAL;13,33800;-16,652
GCFV;FUERTEVENTURA;28,45300;-13,864
GCHI;HIERRO;27,81500;-17,887
GCLA;LA PALMA;28,62600;-17,756
GCLP;GRAN CANARIA;27,93200;-15,386
GCRR;LANZAROTE;28,94500;-13,605
GCTS;TENERIFE SUR;28,04400;-16,572
GCXO;TENERIFE NORTE;28,48200;-16,341
GEHM;;0,00000;0
GEML;MELILLA;35,28000;-2,956
GFBN;;0,00000;0
GFBO;;0,00000;0
GFGK;;0,00000;0
GFHA;HASTINGS;8,39400;-13,128
GFKB;;0,00000;0
GFKE;;0,00000;0
GFLL;FREETOWN LUNGI;8,61600;-13,195
GFTO;;0,00000;0
GFYE;;0,00000;0
GGBB;;0,00000;0
GGBE;;0,00000;0
GGBF;;0,00000;0
GGBI;;0,00000;0
GGBO;;0,00000;0
GGBU;;0,00000;0
GGCC;;0,00000;0
GGCF;CUFAR;11,28800;-15,181
GGCG;;0,00000;0
GGCT;;0,00000;0
GGCV;;0,00000;0
GGEP;;0,00000;0
GGFO;;0,00000;0
GGFR;;0,00000;0
GGFU;;0,00000;0
GGGA;;0,00000;0
GGGB;;0,00000;0
GGMS;;0,00000;0
GGOV;BISSAU OSWALDO VIEIRA INTERNATIONAL;11,89500;-15,654
GGPC;;0,00000;0
GGPR;;0,00000;0
GGSD;;0,00000;0
GGTT;;0,00000;0
GGUN;;0,00000;0
GGVR;;0,00000;0
GLBU;;0,00000;0
GLCM;;0,00000;0
GLCP;;0,00000;0
GLGE;;0,00000;0
GLMR;MONROVIA SPRIGGS PAYNE;6,28900;-10,759
GLNA;;0,00000;0
GLRB;MONROVIA ROBERTS INTERNATIONAL;6,23400;-10,362
GLSK;;0,00000;0
GLST;;0,00000;0
GLTN;;0,00000;0
GLVA;;0,00000;0
GMAA;INEZGANE;30,38100;-9,546
GMAT;PLAGE BLANCHE;28,44800;-11,161
GMAZ;;0,00000;0
GMFA;;0,00000;0
GMFF;SAISS;33,92700;-4,978
GMFI;IFRANE;33,50500;-5,153
GMFK;MOULAY ALI CHERIF;31,94900;-4,401
GMFM;BASSATINE;33,87900;-5,515
GMFN;TAOUIMA;35,15300;-2,92
GMFO;ANGADS;34,78700;-1,924
GMFT;;0,00000;0
GMFU;;0,00000;0
GMFZ;;0,00000;0
GMMB;;0,00000;0
GMMC;ANFA;33,55300;-7,661
GMMD;;0,00000;0
GMME;SALE;34,05100;-6,751
GMMF;SIDI IFNI;29,36900;-10,18
GMMI;ESSAOUIRA;31,40400;-9,685
GMMJ;;0,00000;0
GMMK;;0,00000;0
GMMN;MOHAMMED V;33,36800;-7,588
GMMO;;0,00000;0
GMMS;;0,00000;0
GMMT;;0,00000;0
GMMX;MENARA;31,60700;-8,036
GMMY;KENITRA;34,29900;-6,596
GMMZ;OUARZAZATE;30,93900;-6,909
GMTA;CHERIF EL IDRISSI;35,17700;-3,839
GMTN;SANIAT RMEL;35,59400;-5,32
GMTT;IBN BATOUTA;35,72700;-5,917
GOGG;ZIGUINCHOR;12,55600;-16,282
GOGK;KOLDA;12,88000;-14,955
GOGS;CAP SKIRING;12,41000;-16,746
GOOD;;0,00000;0
GOOG;;0,00000;0
GOOK;KAOLACK;14,14700;-16,051
GOOY;LEOPOLD SEDAR SENGHOR INTERNATIONAL;14,73900;-17,49
GOSM;;0,00000;0
GOSP;;0,00000;0
GOSR;;0,00000;0
GOSS;SAINT LOUIS;16,05000;-16,461
GOTB;BAKEL;14,84700;-12,468
GOTK;KEDOUGOU;12,57200;-12,22
GOTN;;0,00000;0
GOTS;;0,00000;0
GOTT;TAMBACOUNDA;13,73700;-13,653
GQNA;AIOUN EL ATROUSS;16,71100;-9,638
GQNB;;0,00000;0
GQNC;;0,00000;0
GQND;TIDJIKJA;18,57000;-11,423
GQNE;;0,00000;0
GQNF;KIFFA;16,59000;-11,406
GQNI;NEMA;16,62200;-7,314
GQNJ;;0,00000;0
GQNK;KAEDI;16,15900;-13,508
GQNL;;0,00000;0
GQNM;;0,00000;0
GQNN;NOUAKCHOTT;18,09800;-15,948
GQNR;;0,00000;0
GQNS;SELIBADY;15,17900;-12,207
GQNT;;0,00000;0
GQNU;;0,00000;0
GQPA;ATAR;20,50700;-13,043
GQPF;;0,00000;0
GQPP;NOUADHIBOU;20,92800;-17,031
GQPT;BIR MOGHREIN;25,23700;-11,589
GQPZ;;0,00000;0
GSAI;;0,00000;0
GSVO;;0,00000;0
GUFA;FRIA;10,35100;-13,569
GUFH;FARANAH;10,03600;-10,77
GUGO;;0,00000;0
GUKR;;0,00000;0
GUKU;;0,00000;0
GULB;LABE;11,32600;-12,287
GUMA;MACENTA;8,48100;-9,526
GUNZ;NZEREKORE;7,80600;-8,702
GUOK;;0,00000;0
GUSA;;0,00000;0
GUSB;;0,00000;0
GUSI;;0,00000;0
GUXN;;0,00000;0
GVAC;AMILCAR CABRAL INTERNATIONAL;16,74100;-22,949
GVBA;RABIL;16,13700;-22,889
GVFM;FRANCISCO MENDES;14,92400;-23,493
GVMA;MAIO;15,15600;-23,214
GVMT;;0,00000;0
GVPR;;0,00000;0
GVSF;;0,00000;0
GVSN;PREGUICA;16,58800;-24,284
GVSV;SAO PEDRO;16,83400;-25,057
GYGM;;0,00000;0
HAAB;BOLE INTERNATIONAL;8,97700;38,8
HAAD;;0,00000;0
HAAG;;0,00000;0
HAAL;LIDETA;9,00400;38,726
HAAM;;0,00000;0
HAAW;;0,00000;0
HAAX;;0,00000;0
HAAY;;0,00000;0
HABB;;0,00000;0
HABC;;0,00000;0
HABD;BAHIR DAR;11,60800;37,321
HABE;;0,00000;0
HABU;;0,00000;0
HADB;;0,00000;0
HADC;;0,00000;0
HADD;;0,00000;0
HADK;;0,00000;0
HADL;;0,00000;0
HADM;;0,00000;0
HADN;;0,00000;0
HADO;;0,00000;0
HADR;ABA TENNA DEJAZMATCH YILMA INTERNATIONAL;9,62500;41,854
HADT;;0,00000;0
HAFN;;0,00000;0
HAGB;;0,00000;0
HAGH;;0,00000;0
