APT_ICAO;APT_NAME;LAT;LONG
CYKF;WATERLOO RGNL;43,45900;-80,384
CYKL;SCHEFFERVILLE;54,80500;-66,805
CYKY;KINDERSLEY;51,51700;-109,181
CYKZ;BUTTONVILLE MUNI;43,86200;-79,37
CYLA;;0,00000;0
CYLC;;0,00000;0
CYLD;CHAPLEAU;47,82000;-83,346
CYLJ;MEADOW LAKE;54,12500;-108,523
CYLL;LLOYDMINSTER;53,30900;-110,072
CYLO;;0,00000;0
CYLT;ALERT;82,51800;-62,281
CYLW;KELOWNA;49,95600;-119,378
CYLY;;0,00000;0
CYMA;MAYO;63,61700;-135,867
CYMD;;0,00000;0
CYMJ;MOOSE JAW;50,33000;-105,559
CYMM;FORT MCMURRAY;56,65300;-111,222
CYMO;MOOSONEE;51,29100;-80,608
CYMR;;0,00000;0
CYMW;MANIWAKI;46,27400;-75,99
CYMX;MONTREAL INTERNATIONAL MIRABEL;45,68000;-74,039
CYNA;NATASHQUAN;50,19000;-61,789
CYND;GATINEAU;45,52100;-75,564
CYNI;;0,00000;0
CYNM;MATAGAMI;49,76200;-77,803
CYNY;;0,00000;0
CYO;;0,00000;0
CYOC;OLD CROW;67,57100;-139,839
CYOD;COLD LAKE;54,40500;-110,279
CYOJ;HIGH LEVEL;58,62100;-117,165
CYOW;OTTAWA MACDONALD CARTIER INTERNATIONAL;45,32300;-75,669
CYPA;PRINCE ALBERT GLASS FIELD;53,21400;-105,673
CYPE;PEACE RIVER;56,22700;-117,447
CYPF;;0,00000;0
CYPG;SOUTHPORT;49,90300;-98,275
CYPH;;0,00000;0
CYPK;PITT MEADOWS;49,21600;-122,71
CYPL;PICKLE LAKE;51,44600;-90,214
CYPN;PORT MENIER;49,83600;-64,289
CYPQ;PETERBOROUGH;44,23000;-78,363
CYPR;PRINCE RUPERT;54,28600;-130,445
CYPY;FORT CHIPEWYAN;58,76700;-111,117
CYQA;MUSKOKA;44,97500;-79,303
CYQB;QUEBEC JEAN LESAGE INTERNATIONAL;46,78800;-71,398
CYQF;RED DEER REGIONAL;52,17900;-113,893
CYQG;WINDSOR;42,27600;-82,956
CYQH;WATSON LAKE;60,11800;-128,822
CYQK;KENORA;49,78800;-94,363
CYQL;LETHBRIDGE;49,63000;-112,8
CYQM;GREATER MONCTON INTERNATIONAL;46,11200;-64,679
CYQN;NAKINA;50,18300;-86,696
CYQQ;COMOX;49,71100;-124,887
CYQR;REGINA INTERNATIONAL;50,43200;-104,666
CYQT;THUNDER BAY;48,37200;-89,324
CYQU;GRANDE PRAIRIE;55,18000;-118,885
CYQV;YORKTON MUNI;51,26500;-102,462
CYQW;NORTH BATTLEFORD;52,76900;-108,244
CYQX;GANDER INTERNATIONAL;48,93700;-54,568
CYQY;SYDNEY;46,16100;-60,048
CYQZ;QUESNEL;53,02600;-122,51
CYRB;RESOLUTE BAY;74,71700;-94,969
CYRI;RIVIERE DU LOUP;47,76400;-69,585
CYRJ;ROBERVAL;48,52000;-72,266
CYRM;ROCKY MOUNTAIN HOUSE;52,43000;-114,904
CYRT;RANKIN INLET;62,81100;-92,116
CYRW;;0,00000;0
CYSA;;0,00000;0
CYSB;SUDBURY;46,62500;-80,799
CYSC;SHERBROOKE;45,43800;-71,691
CYSD;;0,00000;0
CYSF;;0,00000;0
CYSJ;SAINT JOHN;45,31600;-65,89
CYSK;;0,00000;0
CYSM;FORT SMITH;60,02200;-111,96
CYSR;NANISIVIK;72,98200;-84,614
CYSS;;0,00000;0
CYSU;SUMMERSIDE;46,44300;-63,831
CYSY;SACHS HARBOUR;71,99400;-125,243
CYTC;;0,00000;0
CYTE;CAPE DORSET;64,23000;-76,527
CYTH;THOMPSON;55,80100;-97,864
CYTL;;0,00000;0
CYTR;TRENTON;44,11900;-77,528
CYTS;TIMMINS;48,57000;-81,377
CYTZ;CITY CENTRE;43,62700;-79,396
CYUA;;0,00000;0
CYUB;TUKTOYAKTUK;69,43300;-133,026
CYUC;;0,00000;0
CYUF;;0,00000;0
CYUH;;0,00000;0
CYUI;;0,00000;0
CYUJ;;0,00000;0
CYUK;;0,00000;0
CYUL;MONTREAL INTERNATIONAL DORVAL;45,46800;-73,741
CYUQ;;0,00000;0
CYUR;;0,00000;0
CYUS;;0,00000;0
CYUT;REPULSE BAY;66,52100;-86,225
CYUX;HALL BEACH;68,77600;-81,244
CYUY;ROUYN NORANDA;48,20600;-78,836
CYVC;LA RONGE;55,15100;-105,262
CYVG;VERMILION;53,35600;-110,824
CYVM;QIKIQTARJUAQ;67,54600;-64,031
CYVN;;0,00000;0
CYVO;VAL D OR;48,05300;-77,783
CYVP;KUUJJUAQ;58,09600;-68,427
CYVQ;NORMAN WELLS;65,28200;-126,8
CYVR;VANCOUVER INTERNATIONAL;49,19500;-123,182
CYVT;BUFFALO NARROWS;55,84200;-108,418
CYVV;WIARTON;44,74600;-81,107
CYWA;PETAWAWA;45,95200;-77,319
CYWG;WINNIPEG INTERNATIONAL;49,91000;-97,234
CYWK;WABUSH;52,92200;-66,864
CYWL;WILLIAMS LAKE;52,18300;-122,054
CYWO;;0,00000;0
CYWR;;0,00000;0
CYWY;WRIGLEY;63,20900;-123,437
CYXC;CRANBROOK;49,61000;-115,782
CYXD;EDMONTON CITY CENTRE;53,57300;-113,521
CYXE;SASKATOON J G DIEFENBAKER INTERNATIONAL;52,17100;-106,7
CYXH;MEDICINE HAT;50,01900;-110,721
CYXI;;0,00000;0
CYXJ;FORT ST JOHN;56,23800;-120,74
CYXL;SIOUX LOOKOUT;50,11400;-91,904
CYXN;;0,00000;0
CYXP;PANGNIRTUNG;66,14500;-65,714
CYXR;TIMISKAMING RGNL;47,69500;-79,849
CYXS;PRINCE GEORGE;53,88900;-122,679
CYXT;TERRACE;54,46600;-128,577
CYXU;LONDON;43,03600;-81,154
CYXX;ABBOTSFORD;49,02500;-122,363
CYXY;WHITEHORSE INTERNATIONAL;60,70900;-135,068
CYYB;NORTH BAY;46,36400;-79,423
CYYC;CALGARY INTERNATIONAL;51,11400;-114,02
CYYD;SMITHERS;54,82500;-127,183
CYYE;FORT NELSON;58,83600;-122,597
CYYF;PENTICTON;49,46300;-119,602
CYYG;CHARLOTTETOWN;46,29000;-63,121
CYYH;TALOYOAK;69,54700;-93,577
CYYJ;VICTORIA INTERNATIONAL;48,64700;-123,426
CYYL;LYNN LAKE;56,86400;-101,076
CYYN;SWIFT CURRENT;50,29200;-107,691
CYYQ;CHURCHILL;58,73900;-94,065
CYYR;GOOSE BAY;53,31900;-60,426
CYYT;ST JOHNS INTERNATIONAL;47,61900;-52,752
CYYU;KAPUSKASING;49,41400;-82,468
CYYW;ARMSTRONG;50,29000;-88,91
CYYY;MONT JOLI;48,60900;-68,208
CYYZ;LESTER B PEARSON INTERNATIONAL;43,67700;-79,631
CYZA;;0,00000;0
CYZD;DOWNSVIEW;43,74200;-79,466
CYZE;GORE BAY MANITOULIN;45,88500;-82,568
CYZF;YELLOWKNIFE;62,46300;-114,44
CYZH;SLAVE LAKE;55,29300;-114,778
CYZP;SANDSPIT;53,25400;-131,814
CYZR;CHRIS HADFIELD;42,99900;-82,309
CYZT;PORT HARDY;50,68100;-127,367
CYZU;WHITECOURT;54,14400;-115,787
CYZV;SEPT ILES;50,22300;-66,266
CYZW;TESLIN;60,17300;-132,743
CYZX;GREENWOOD;44,98400;-64,917
CZFA;FARO;62,20800;-133,376
CZFM;FORT MCPHERSON;67,40800;-134,86
CZNB;;0,00000;0
CZUE;;0,00000;0
DAAB;BLIDA;36,50400;2,814
DAAD;BOU SAADA;35,33300;4,206
DAAE;SOUMMAM;36,71200;5,07
DAAF;;0,00000;0
DAAG;HOUARI BOUMEDIENE;36,69100;3,215
DAAJ;TISKA;24,29300;9,452
DAAK;BOUFARIK;36,54600;2,876
DAAM;TELERGHMA;36,10900;6,364
DAAN;REGGANE;26,71000;0,286
DAAP;ILLIZI;26,57300;8,484
DAAQ;AIN OUSSERA;35,52500;2,879
DAAS;SETIF AIN ARNAT;36,17800;5,324
DAAT;TAMANRASSET;22,81100;5,451
DAAV;JIJEL;36,79500;5,873
DAAW;;0,00000;0
DAAX;;0,00000;0
DAAY;MECHERIA;33,53600;-0,242
DAAZ;RELIZANE;35,75200;0,626
DABB;ANNABA;36,82200;7,809
DABC;MOHAMED BOUDIAF INTERNATIONAL;36,27700;6,624
DABP;;0,00000;0
DABS;CHEIKH LARBI TEBESSI;35,43100;8,121
DABT;;0,00000;0
DADF;;0,00000;0
DAFH;HASSI R MEL;32,93000;3,312
DAFI;;0,00000;0
DAOB;BOU CHEKIF;35,34100;1,463
DAOC;;0,00000;0
DAOE;BOU SFER;35,73500;-0,805
DAOF;TINDOUF;27,70000;-8,167
DAOI;ECH CHELIFF;36,21300;1,332
DAOL;TAFARAOUI;35,54200;-0,532
DAON;ZENATA;35,01700;-1,45
DAOO;ES SENIA;35,62400;-0,621
DAOS;SIDI BEL ABBES;35,17200;-0,593
DAOV;GHRISS;35,20800;0,147
DASM;;0,00000;0
DATG;;0,00000;0
DATM;;0,00000;0
DAUA;TOUAT CHEIKH SIDI MOHAMED BELKEBIR;27,83700;-0,186
DAUB;BISKRA;34,79300;5,738
DAUE;EL GOLEA;30,57100;2,859
