Entity;State;Week;Day;Flights;Flights (7-day moving average);Day 2019;Flights 2019 (Reference);% vs 2019 (Daily);% vs 2019 (7-day Moving Average)
AMSTERDAM ACC;Netherlands;1;2020-01-01;1299;1369,3;2019-01-02;1466;-11,39%;-1,71%
AMSTERDAM ACC;Netherlands;1;2020-01-02;1511;1390,1;2019-01-03;1539;-1,82%;-1,96%
AMSTERDAM ACC;Netherlands;1;2020-01-03;1505;1394,1;2019-01-04;1540;-2,27%;-2,30%
AMSTERDAM ACC;Netherlands;1;2020-01-04;1250;1389,6;2019-01-05;1289;-3,03%;-2,69%
AMSTERDAM ACC;Netherlands;1;2020-01-05;1492;1396,6;2019-01-06;1480;0,81%;-2,56%
AMSTERDAM ACC;Netherlands;2;2020-01-06;1536;1404,1;2019-01-07;1568;-2,04%;-2,86%
AMSTERDAM ACC;Netherlands;2;2020-01-07;1395;1426,9;2019-01-08;1088;28,22%;0,18%
AMSTERDAM ACC;Netherlands;2;2020-01-08;1430;1445,6;2019-01-09;1452;-1,52%;1,64%
AMSTERDAM ACC;Netherlands;2;2020-01-09;1493;1443,0;2019-01-10;1507;-0,93%;1,78%
AMSTERDAM ACC;Netherlands;2;2020-01-10;1530;1446,6;2019-01-11;1492;2,55%;2,53%
AMSTERDAM ACC;Netherlands;2;2020-01-11;1158;1433,4;2019-01-12;1126;2,84%;3,30%
AMSTERDAM ACC;Netherlands;2;2020-01-12;1442;1426,3;2019-01-13;1229;17,33%;5,52%
AMSTERDAM ACC;Netherlands;3;2020-01-13;1522;1424,3;2019-01-14;1532;-0,65%;5,77%
AMSTERDAM ACC;Netherlands;3;2020-01-14;1328;1414,7;2019-01-15;1348;-1,48%;2,24%
AMSTERDAM ACC;Netherlands;3;2020-01-15;1407;1411,4;2019-01-16;1438;-2,16%;2,15%
AMSTERDAM ACC;Netherlands;3;2020-01-16;1546;1419,0;2019-01-17;1536;0,65%;2,39%
AMSTERDAM ACC;Netherlands;3;2020-01-17;1491;1413,4;2019-01-18;1521;-1,97%;1,69%
AMSTERDAM ACC;Netherlands;3;2020-01-18;1123;1408,4;2019-01-19;1140;-1,49%;1,18%
AMSTERDAM ACC;Netherlands;3;2020-01-19;1419;1405,1;2019-01-20;1414;0,35%;-0,94%
AMSTERDAM ACC;Netherlands;4;2020-01-20;1497;1401,6;2019-01-21;1545;-3,11%;-1,32%
AMSTERDAM ACC;Netherlands;4;2020-01-21;1396;1411,3;2019-01-22;1351;3,33%;-0,66%
AMSTERDAM ACC;Netherlands;4;2020-01-22;1375;1406,7;2019-01-23;1418;-3,03%;-0,79%
AMSTERDAM ACC;Netherlands;4;2020-01-23;1515;1402,3;2019-01-24;1529;-0,92%;-1,03%
AMSTERDAM ACC;Netherlands;4;2020-01-24;1532;1408,1;2019-01-25;1518;0,92%;-0,58%
AMSTERDAM ACC;Netherlands;4;2020-01-25;1123;1408,1;2019-01-26;1113;0,90%;-0,31%
AMSTERDAM ACC;Netherlands;4;2020-01-26;1422;1408,6;2019-01-27;1413;0,64%;-0,27%
AMSTERDAM ACC;Netherlands;5;2020-01-27;1516;1411,3;2019-01-28;1560;-2,82%;-0,23%
AMSTERDAM ACC;Netherlands;5;2020-01-28;1347;1404,3;2019-01-29;1402;-3,92%;-1,24%
AMSTERDAM ACC;Netherlands;5;2020-01-29;1414;1409,9;2019-01-30;1397;1,22%;-0,63%
AMSTERDAM ACC;Netherlands;5;2020-01-30;1539;1413,3;2019-01-31;1570;-1,97%;-0,80%
AMSTERDAM ACC;Netherlands;5;2020-01-31;1513;1410,6;2019-02-01;1528;-0,98%;-1,09%
AMSTERDAM ACC;Netherlands;5;2020-02-01;1137;1412,6;2019-02-02;1154;-1,47%;-1,36%
AMSTERDAM ACC;Netherlands;5;2020-02-02;1416;1411,7;2019-02-03;1429;-0,91%;-1,57%
AMSTERDAM ACC;Netherlands;6;2020-02-03;1555;1417,3;2019-02-04;1586;-1,95%;-1,44%
AMSTERDAM ACC;Netherlands;6;2020-02-04;1379;1421,9;2019-02-05;1431;-3,63%;-1,41%
AMSTERDAM ACC;Netherlands;6;2020-02-05;1440;1425,6;2019-02-06;1481;-2,77%;-1,96%
AMSTERDAM ACC;Netherlands;6;2020-02-06;1545;1426,4;2019-02-07;1605;-3,74%;-2,24%
AMSTERDAM ACC;Netherlands;6;2020-02-07;1511;1426,1;2019-02-08;1581;-4,43%;-2,77%
AMSTERDAM ACC;Netherlands;6;2020-02-08;1160;1429,4;2019-02-09;1159;0,09%;-2,59%
AMSTERDAM ACC;Netherlands;6;2020-02-09;1090;1382,9;2019-02-10;1418;-23,13%;-5,66%
AMSTERDAM ACC;Netherlands;7;2020-02-10;1219;1334,9;2019-02-11;1569;-22,31%;-8,79%
AMSTERDAM ACC;Netherlands;7;2020-02-11;1294;1322,7;2019-02-12;1446;-10,51%;-9,75%
AMSTERDAM ACC;Netherlands;7;2020-02-12;1465;1326,3;2019-02-13;1491;-1,74%;-9,59%
AMSTERDAM ACC;Netherlands;7;2020-02-13;1559;1328,3;2019-02-14;1611;-3,23%;-9,51%
AMSTERDAM ACC;Netherlands;7;2020-02-14;1589;1339,4;2019-02-15;1629;-2,46%;-9,17%
AMSTERDAM ACC;Netherlands;7;2020-02-15;1255;1353,0;2019-02-16;1297;-3,24%;-9,46%
AMSTERDAM ACC;Netherlands;7;2020-02-16;1451;1404,6;2019-02-17;1533;-5,35%;-7,03%
AMSTERDAM ACC;Netherlands;8;2020-02-17;1596;1458,4;2019-02-18;1585;0,69%;-3,62%
AMSTERDAM ACC;Netherlands;8;2020-02-18;1489;1486,3;2019-02-19;1497;-0,53%;-2,25%
AMSTERDAM ACC;Netherlands;8;2020-02-19;1523;1494,6;2019-02-20;1512;0,73%;-1,89%
AMSTERDAM ACC;Netherlands;8;2020-02-20;1586;1498,4;2019-02-21;1627;-2,52%;-1,79%
AMSTERDAM ACC;Netherlands;8;2020-02-21;1621;1503,0;2019-02-22;1601;1,25%;-1,23%
AMSTERDAM ACC;Netherlands;8;2020-02-22;1281;1506,7;2019-02-23;1315;-2,59%;-1,15%
AMSTERDAM ACC;Netherlands;8;2020-02-23;1308;1486,3;2019-02-24;1561;-16,21%;-2,75%
AMSTERDAM ACC;Netherlands;9;2020-02-24;1575;1483,3;2019-02-25;1666;-5,46%;-3,67%
AMSTERDAM ACC;Netherlands;9;2020-02-25;1499;1484,7;2019-02-26;1515;-1,06%;-3,74%
AMSTERDAM ACC;Netherlands;9;2020-02-26;1510;1482,9;2019-02-27;1533;-1,50%;-4,05%
AMSTERDAM ACC;Netherlands;9;2020-02-27;1606;1485,7;2019-02-28;1582;1,52%;-3,46%
AMSTERDAM ACC;Netherlands;9;2020-02-28;1620;1485,6;2019-03-01;1638;-1,10%;-3,80%
AMSTERDAM ACC;Netherlands;9;2020-02-29;1273;1484,4;2019-03-02;1321;-3,63%;-3,93%
AMSTERDAM ACC;Netherlands;9;2020-03-01;1506;1512,7;2019-03-03;1533;-1,76%;-1,84%
AMSTERDAM ACC;Netherlands;10;2020-03-02;1626;1520,0;2019-03-04;1526;6,55%;-0,08%
AMSTERDAM ACC;Netherlands;10;2020-03-03;1515;1522,3;2019-03-05;1558;-2,76%;-0,33%
AMSTERDAM ACC;Netherlands;10;2020-03-04;1520;1523,7;2019-03-06;1584;-4,04%;-0,71%
AMSTERDAM ACC;Netherlands;10;2020-03-05;1549;1515,6;2019-03-07;1674;-7,47%;-2,08%
AMSTERDAM ACC;Netherlands;10;2020-03-06;1540;1504,1;2019-03-08;1662;-7,34%;-3,03%
AMSTERDAM ACC;Netherlands;10;2020-03-07;1199;1493,6;2019-03-09;1284;-6,62%;-3,38%
AMSTERDAM ACC;Netherlands;10;2020-03-08;1436;1483,6;2019-03-10;1468;-2,18%;-3,45%
AMSTERDAM ACC;Netherlands;11;2020-03-09;1519;1468,3;2019-03-11;1502;1,13%;-4,23%
AMSTERDAM ACC;Netherlands;11;2020-03-10;1358;1445,9;2019-03-12;1528;-11,13%;-5,43%
AMSTERDAM ACC;Netherlands;11;2020-03-11;1374;1425,0;2019-03-13;1428;-3,78%;-5,41%
AMSTERDAM ACC;Netherlands;11;2020-03-12;1448;1410,6;2019-03-14;1586;-8,70%;-5,58%
AMSTERDAM ACC;Netherlands;11;2020-03-13;1431;1395,0;2019-03-15;1594;-10,23%;-6,02%
AMSTERDAM ACC;Netherlands;11;2020-03-14;1104;1381,4;2019-03-16;1290;-14,42%;-6,98%
AMSTERDAM ACC;Netherlands;11;2020-03-15;1305;1362,7;2019-03-17;1534;-14,93%;-8,82%
AMSTERDAM ACC;Netherlands;12;2020-03-16;1248;1324,0;2019-03-18;1659;-24,77%;-12,72%
AMSTERDAM ACC;Netherlands;12;2020-03-17;1000;1272,9;2019-03-19;1548;-35,40%;-16,25%
AMSTERDAM ACC;Netherlands;12;2020-03-18;765;1185,9;2019-03-20;1587;-51,80%;-23,12%
AMSTERDAM ACC;Netherlands;12;2020-03-19;760;1087,6;2019-03-21;1650;-53,94%;-29,91%
AMSTERDAM ACC;Netherlands;12;2020-03-20;761;991,9;2019-03-22;1669;-54,40%;-36,52%
AMSTERDAM ACC;Netherlands;12;2020-03-21;531;910,0;2019-03-23;1321;-59,80%;-41,92%
AMSTERDAM ACC;Netherlands;12;2020-03-22;575;805,7;2019-03-24;1541;-62,69%;-48,61%
AMSTERDAM ACC;Netherlands;13;2020-03-23;380;681,7;2019-03-25;1545;-75,40%;-56,06%
AMSTERDAM ACC;Netherlands;13;2020-03-24;350;588,9;2019-03-26;1562;-77,59%;-62,10%
AMSTERDAM ACC;Netherlands;13;2020-03-25;340;528,1;2019-03-27;1603;-78,79%;-66,05%
AMSTERDAM ACC;Netherlands;13;2020-03-26;332;467,0;2019-03-28;1694;-80,40%;-70,11%
AMSTERDAM ACC;Netherlands;13;2020-03-27;335;406,1;2019-03-29;1649;-79,68%;-73,95%
AMSTERDAM ACC;Netherlands;13;2020-03-28;223;362,1;2019-03-30;1302;-82,87%;-76,73%
AMSTERDAM ACC;Netherlands;13;2020-03-29;216;310,9;2019-03-31;1564;-86,19%;-80,07%
AMSTERDAM ACC;Netherlands;14;2020-03-30;169;280,7;2019-04-01;1740;-90,29%;-82,32%
AMSTERDAM ACC;Netherlands;14;2020-03-31;200;259,3;2019-04-02;1678;-88,08%;-83,84%
AMSTERDAM ACC;Netherlands;14;2020-04-01;186;237,3;2019-04-03;1689;-88,99%;-85,32%
AMSTERDAM ACC;Netherlands;14;2020-04-02;188;216,7;2019-04-04;1725;-89,10%;-86,63%
AMSTERDAM ACC;Netherlands;14;2020-04-03;194;196,6;2019-04-05;1758;-88,96%;-87,99%
AMSTERDAM ACC;Netherlands;14;2020-04-04;171;189,1;2019-04-06;1424;-87,99%;-88,56%
AMSTERDAM ACC;Netherlands;14;2020-04-05;164;181,7;2019-04-07;1610;-89,81%;-89,06%
AMSTERDAM ACC;Netherlands;15;2020-04-06;163;180,9;2019-04-08;1753;-90,70%;-89,12%
AMSTERDAM ACC;Netherlands;15;2020-04-07;174;177,1;2019-04-09;1681;-89,65%;-89,35%
AMSTERDAM ACC;Netherlands;15;2020-04-08;153;172,4;2019-04-10;1731;-91,16%;-89,67%
AMSTERDAM ACC;Netherlands;15;2020-04-09;166;169,3;2019-04-11;1763;-90,58%;-89,89%
AMSTERDAM ACC;Netherlands;15;2020-04-10;155;163,7;2019-04-12;1767;-91,23%;-90,23%
AMSTERDAM ACC;Netherlands;15;2020-04-11;155;161,4;2019-04-13;1412;-89,02%;-90,36%
AMSTERDAM ACC;Netherlands;15;2020-04-12;143;158,4;2019-04-14;1596;-91,04%;-90,52%
AMSTERDAM ACC;Netherlands;16;2020-04-13;119;152,1;2019-04-15;1742;-93,17%;-90,89%
AMSTERDAM ACC;Netherlands;16;2020-04-14;133;146,3;2019-04-16;1700;-92,18%;-91,26%
AMSTERDAM ACC;Netherlands;16;2020-04-15;172;149,0;2019-04-17;1722;-90,01%;-91,09%
AMSTERDAM ACC;Netherlands;16;2020-04-16;166;149,0;2019-04-18;1775;-90,65%;-91,10%
AMSTERDAM ACC;Netherlands;16;2020-04-17;165;150,4;2019-04-19;1741;-90,52%;-90,99%
AMSTERDAM ACC;Netherlands;16;2020-04-18;170;152,6;2019-04-20;1465;-88,40%;-90,90%
AMSTERDAM ACC;Netherlands;16;2020-04-19;158;154,7;2019-04-21;1644;-90,39%;-90,81%
AMSTERDAM ACC;Netherlands;17;2020-04-20;177;163,0;2019-04-22;1681;-89,47%;-90,27%
AMSTERDAM ACC;Netherlands;17;2020-04-21;183;170,1;2019-04-23;1700;-89,24%;-89,84%
AMSTERDAM ACC;Netherlands;17;2020-04-22;177;170,9;2019-04-24;1762;-89,95%;-89,84%
AMSTERDAM ACC;Netherlands;17;2020-04-23;207;176,7;2019-04-25;1823;-88,65%;-89,53%
AMSTERDAM ACC;Netherlands;17;2020-04-24;189;180,1;2019-04-26;1802;-89,51%;-89,38%
AMSTERDAM ACC;Netherlands;17;2020-04-25;186;182,4;2019-04-27;1494;-87,55%;-89,27%
AMSTERDAM ACC;Netherlands;17;2020-04-26;186;186,4;2019-04-28;1669;-88,86%;-89,06%
AMSTERDAM ACC;Netherlands;18;2020-04-27;161;184,1;2019-04-29;1798;-91,05%;-89,30%
AMSTERDAM ACC;Netherlands;18;2020-04-28;178;183,4;2019-04-30;1709;-89,58%;-89,35%
AMSTERDAM ACC;Netherlands;18;2020-04-29;194;185,9;2019-05-01;1692;-88,53%;-89,15%
AMSTERDAM ACC;Netherlands;18;2020-04-30;200;184,9;2019-05-02;1761;-88,64%;-89,15%
AMSTERDAM ACC;Netherlands;18;2020-05-01;181;183,7;2019-05-03;1810;-90,00%;-89,22%
AMSTERDAM ACC;Netherlands;18;2020-05-02;182;183,1;2019-05-04;1508;-87,93%;-89,27%
AMSTERDAM ACC;Netherlands;18;2020-05-03;173;181,3;2019-05-05;1695;-89,79%;-89,40%
AMSTERDAM ACC;Netherlands;19;2020-05-04;210;188,3;2019-05-06;1789;-88,26%;-88,98%
AMSTERDAM ACC;Netherlands;19;2020-05-05;217;193,9;2019-05-07;1783;-87,83%;-88,73%
AMSTERDAM ACC;Netherlands;19;2020-05-06;239;200,3;2019-05-08;1824;-86,90%;-88,48%
AMSTERDAM ACC;Netherlands;19;2020-05-07;248;207,1;2019-05-09;1806;-86,27%;-88,13%
AMSTERDAM ACC;Netherlands;19;2020-05-08;245;216,3;2019-05-10;1850;-86,76%;-87,65%
AMSTERDAM ACC;Netherlands;19;2020-05-09;200;218,9;2019-05-11;1574;-87,29%;-87,57%
AMSTERDAM ACC;Netherlands;19;2020-05-10;199;222,6;2019-05-12;1719;-88,42%;-87,38%
AMSTERDAM ACC;Netherlands;20;2020-05-11;231;225,6;2019-05-13;1862;-87,59%;-87,28%
AMSTERDAM ACC;Netherlands;20;2020-05-12;230;227,4;2019-05-14;1807;-87,27%;-87,20%
AMSTERDAM ACC;Netherlands;20;2020-05-13;227;225,7;2019-05-15;1793;-87,34%;-87,27%
AMSTERDAM ACC;Netherlands;20;2020-05-14;264;228,0;2019-05-16;1839;-85,64%;-87,17%
AMSTERDAM ACC;Netherlands;20;2020-05-15;247;228,3;2019-05-17;1819;-86,42%;-87,13%
AMSTERDAM ACC;Netherlands;20;2020-05-16;209;229,6;2019-05-18;1548;-86,50%;-87,03%
AMSTERDAM ACC;Netherlands;20;2020-05-17;223;233,0;2019-05-19;1732;-87,12%;-86,85%
AMSTERDAM ACC;Netherlands;21;2020-05-18;223;231,9;2019-05-20;1823;-87,77%;-86,87%
AMSTERDAM ACC;Netherlands;21;2020-05-19;255;235,4;2019-05-21;1736;-85,31%;-86,59%
AMSTERDAM ACC;Netherlands;21;2020-05-20;274;242,1;2019-05-22;1818;-84,93%;-86,24%
AMSTERDAM ACC;Netherlands;21;2020-05-21;259;241,4;2019-05-23;1826;-85,82%;-86,26%
AMSTERDAM ACC;Netherlands;21;2020-05-22;231;239,1;2019-05-24;1864;-87,61%;-86,44%
AMSTERDAM ACC;Netherlands;21;2020-05-23;246;244,4;2019-05-25;1548;-84,11%;-86,14%
AMSTERDAM ACC;Netherlands;21;2020-05-24;235;246,1;2019-05-26;1740;-86,49%;-86,05%
AMSTERDAM ACC;Netherlands;22;2020-05-25;234;247,7;2019-05-27;1822;-87,16%;-85,96%
AMSTERDAM ACC;Netherlands;22;2020-05-26;260;248,4;2019-05-28;1710;-84,80%;-85,89%
AMSTERDAM ACC;Netherlands;22;2020-05-27;262;246,7;2019-05-29;1827;-85,66%;-86,00%
AMSTERDAM ACC;Netherlands;22;2020-05-28;303;253,0;2019-05-30;1743;-82,62%;-85,55%
AMSTERDAM ACC;Netherlands;22;2020-05-29;276;259,4;2019-05-31;1770;-84,41%;-85,07%
AMSTERDAM ACC;Netherlands;22;2020-05-30;238;258,3;2019-06-01;1525;-84,39%;-85,10%
AMSTERDAM ACC;Netherlands;22;2020-05-31;245;259,7;2019-06-02;1735;-85,88%;-85,01%
AMSTERDAM ACC;Netherlands;23;2020-06-01;251;262,1;2019-06-03;1868;-86,56%;-84,93%
AMSTERDAM ACC;Netherlands;23;2020-06-02;300;267,9;2019-06-04;1796;-83,30%;-84,71%
AMSTERDAM ACC;Netherlands;23;2020-06-03;296;272,7;2019-06-05;1824;-83,77%;-84,43%
AMSTERDAM ACC;Netherlands;23;2020-06-04;301;272,4;2019-06-06;1880;-83,99%;-84,62%
AMSTERDAM ACC;Netherlands;23;2020-06-05;302;276,1;2019-06-07;1859;-83,75%;-84,52%
AMSTERDAM ACC;Netherlands;23;2020-06-06;277;281,7;2019-06-08;1510;-81,66%;-84,19%
AMSTERDAM ACC;Netherlands;23;2020-06-07;269;285,1;2019-06-09;1690;-84,08%;-83,94%
AMSTERDAM ACC;Netherlands;24;2020-06-08;300;292,1;2019-06-10;1799;-83,32%;-83,45%
AMSTERDAM ACC;Netherlands;24;2020-06-09;284;289,9;2019-06-11;1786;-84,10%;-83,57%
AMSTERDAM ACC;Netherlands;24;2020-06-10;304;291,0;2019-06-12;1848;-83,55%;-83,54%
AMSTERDAM ACC;Netherlands;24;2020-06-11;326;294,6;2019-06-13;1880;-82,66%;-83,33%
AMSTERDAM ACC;Netherlands;24;2020-06-12;325;297,9;2019-06-14;1863;-82,56%;-83,15%
AMSTERDAM ACC;Netherlands;24;2020-06-13;288;299,4;2019-06-15;1558;-81,51%;-83,13%
AMSTERDAM ACC;Netherlands;24;2020-06-14;299;303,7;2019-06-16;1733;-82,75%;-82,95%
AMSTERDAM ACC;Netherlands;25;2020-06-15;347;310,4;2019-06-17;1868;-81,42%;-82,67%
AMSTERDAM ACC;Netherlands;25;2020-06-16;326;316,4;2019-06-18;1791;-81,80%;-82,34%
AMSTERDAM ACC;Netherlands;25;2020-06-17;345;322,3;2019-06-19;1831;-81,16%;-81,99%
AMSTERDAM ACC;Netherlands;25;2020-06-18;376;329,4;2019-06-20;1887;-80,07%;-81,60%
AMSTERDAM ACC;Netherlands;25;2020-06-19;411;341,7;2019-06-21;1871;-78,03%;-80,92%
AMSTERDAM ACC;Netherlands;25;2020-06-20;351;350,7;2019-06-22;1541;-77,22%;-80,39%
AMSTERDAM ACC;Netherlands;25;2020-06-21;354;358,6;2019-06-23;1732;-79,56%;-79,95%
AMSTERDAM ACC;Netherlands;26;2020-06-22;408;367,3;2019-06-24;1843;-77,86%;-79,43%
AMSTERDAM ACC;Netherlands;26;2020-06-23;382;375,3;2019-06-25;1755;-78,23%;-78,92%
AMSTERDAM ACC;Netherlands;26;2020-06-24;388;381,4;2019-06-26;1786;-78,28%;-78,49%
AMSTERDAM ACC;Netherlands;26;2020-06-25;396;384,3;2019-06-27;1876;-78,89%;-78,31%
AMSTERDAM ACC;Netherlands;26;2020-06-26;428;386,7;2019-06-28;1871;-77,12%;-78,18%
AMSTERDAM ACC;Netherlands;26;2020-06-27;359;387,9;2019-06-29;1567;-77,09%;-78,16%
AMSTERDAM ACC;Netherlands;26;2020-06-28;388;392,7;2019-06-30;1729;-77,56%;-77,88%
AMSTERDAM ACC;Netherlands;27;2020-06-29;437;396,9;2019-07-01;1833;-76,16%;-77,63%
AMSTERDAM ACC;Netherlands;27;2020-06-30;404;400,0;2019-07-02;1772;-77,20%;-77,48%
AMSTERDAM ACC;Netherlands;27;2020-07-01;501;416,1;2019-07-03;1822;-72,50%;-76,64%
AMSTERDAM ACC;Netherlands;27;2020-07-02;569;440,9;2019-07-04;1823;-68,79%;-75,15%
AMSTERDAM ACC;Netherlands;27;2020-07-03;621;468,4;2019-07-05;1867;-66,74%;-73,58%
AMSTERDAM ACC;Netherlands;27;2020-07-04;572;498,9;2019-07-06;1544;-62,95%;-71,82%
AMSTERDAM ACC;Netherlands;27;2020-07-05;597;528,7;2019-07-07;1742;-65,73%;-70,16%
AMSTERDAM ACC;Netherlands;28;2020-07-06;623;555,3;2019-07-08;1842;-66,18%;-68,68%
AMSTERDAM ACC;Netherlands;28;2020-07-07;562;577,9;2019-07-09;1759;-68,05%;-67,38%
AMSTERDAM ACC;Netherlands;28;2020-07-08;620;594,9;2019-07-10;1813;-65,80%;-66,39%
AMSTERDAM ACC;Netherlands;28;2020-07-09;630;603,6;2019-07-11;1859;-66,11%;-66,00%
AMSTERDAM ACC;Netherlands;28;2020-07-10;677;611,6;2019-07-12;1831;-63,03%;-65,45%
AMSTERDAM ACC;Netherlands;28;2020-07-11;625;619,1;2019-07-13;1570;-60,19%;-65,09%
AMSTERDAM ACC;Netherlands;28;2020-07-12;603;620,0;2019-07-14;1719;-64,92%;-64,98%
AMSTERDAM ACC;Netherlands;29;2020-07-13;645;623,1;2019-07-15;1852;-65,17%;-64,83%
AMSTERDAM ACC;Netherlands;29;2020-07-14;568;624,0;2019-07-16;1776;-68,02%;-64,83%
AMSTERDAM ACC;Netherlands;29;2020-07-15;674;631,7;2019-07-17;1819;-62,95%;-64,41%
AMSTERDAM ACC;Netherlands;29;2020-07-16;688;640,0;2019-07-18;1825;-62,30%;-63,85%
AMSTERDAM ACC;Netherlands;29;2020-07-17;727;647,1;2019-07-19;1854;-60,79%;-63,51%
AMSTERDAM ACC;Netherlands;29;2020-07-18;655;651,4;2019-07-20;1552;-57,80%;-63,22%
AMSTERDAM ACC;Netherlands;29;2020-07-19;688;663,6;2019-07-21;1720;-60,00%;-62,53%
AMSTERDAM ACC;Netherlands;30;2020-07-20;682;668,9;2019-07-22;1815;-62,42%;-62,12%
AMSTERDAM ACC;Netherlands;30;2020-07-21;625;677,0;2019-07-23;1749;-64,27%;-61,58%
AMSTERDAM ACC;Netherlands;30;2020-07-22;680;677,9;2019-07-24;1470;-53,74%;-60,41%
AMSTERDAM ACC;Netherlands;30;2020-07-23;678;676,4;2019-07-25;1767;-61,63%;-60,30%
AMSTERDAM ACC;Netherlands;30;2020-07-24;728;676,6;2019-07-26;1799;-59,53%;-60,11%
AMSTERDAM ACC;Netherlands;30;2020-07-25;681;680,3;2019-07-27;1558;-56,29%;-59,91%
AMSTERDAM ACC;Netherlands;30;2020-07-26;690;680,6;2019-07-28;1695;-59,29%;-59,81%
AMSTERDAM ACC;Netherlands;31;2020-07-27;682;680,6;2019-07-29;1831;-62,75%;-59,86%
AMSTERDAM ACC;Netherlands;31;2020-07-28;603;677,4;2019-07-30;1750;-65,54%;-60,05%
AMSTERDAM ACC;Netherlands;31;2020-07-29;661;674,7;2019-07-31;1794;-63,15%;-61,27%
AMSTERDAM ACC;Netherlands;31;2020-07-30;685;675,7;2019-08-01;1802;-61,99%;-61,32%
AMSTERDAM ACC;Netherlands;31;2020-07-31;766;681,1;2019-08-02;1806;-57,59%;-61,03%
AMSTERDAM ACC;Netherlands;31;2020-08-01;715;686,0;2019-08-03;1520;-52,96%;-60,63%
AMSTERDAM ACC;Netherlands;31;2020-08-02;724;690,9;2019-08-04;1692;-57,21%;-60,34%
AMSTERDAM ACC;Netherlands;32;2020-08-03;883;719,6;2019-08-05;1823;-51,56%;-58,67%
AMSTERDAM ACC;Netherlands;32;2020-08-04;845;754,1;2019-08-06;1731;-51,18%;-56,62%
AMSTERDAM ACC;Netherlands;32;2020-08-05;871;784,1;2019-08-07;1770;-50,79%;-54,80%
AMSTERDAM ACC;Netherlands;32;2020-08-06;879;811,9;2019-08-08;1804;-51,27%;-53,21%
AMSTERDAM ACC;Netherlands;32;2020-08-07;958;839,3;2019-08-09;1791;-46,51%;-51,57%
AMSTERDAM ACC;Netherlands;32;2020-08-08;874;862,0;2019-08-10;1527;-42,76%;-50,29%
AMSTERDAM ACC;Netherlands;32;2020-08-09;922;890,3;2019-08-11;1732;-46,77%;-48,83%
AMSTERDAM ACC;Netherlands;33;2020-08-10;936;897,9;2019-08-12;1823;-48,66%;-48,39%
AMSTERDAM ACC;Netherlands;33;2020-08-11;816;893,7;2019-08-13;1722;-52,61%;-48,59%
AMSTERDAM ACC;Netherlands;33;2020-08-12;900;897,9;2019-08-14;1824;-50,66%;-48,58%
AMSTERDAM ACC;Netherlands;33;2020-08-13;879;897,9;2019-08-15;1768;-50,28%;-48,43%
AMSTERDAM ACC;Netherlands;33;2020-08-14;960;898,1;2019-08-16;1808;-46,90%;-48,48%
AMSTERDAM ACC;Netherlands;33;2020-08-15;903;902,3;2019-08-17;1530;-40,98%;-48,26%
AMSTERDAM ACC;Netherlands;33;2020-08-16;932;903,7;2019-08-18;1726;-46,00%;-48,15%
AMSTERDAM ACC;Netherlands;34;2020-08-17;911;900,1;2019-08-19;1850;-50,76%;-48,47%
AMSTERDAM ACC;Netherlands;34;2020-08-18;813;899,7;2019-08-20;1752;-53,60%;-48,62%
AMSTERDAM ACC;Netherlands;34;2020-08-19;870;895,4;2019-08-21;1800;-51,67%;-48,77%
AMSTERDAM ACC;Netherlands;34;2020-08-20;875;894,9;2019-08-22;1812;-51,71%;-48,98%
AMSTERDAM ACC;Netherlands;34;2020-08-21;956;894,3;2019-08-23;1867;-48,79%;-49,26%
AMSTERDAM ACC;Netherlands;34;2020-08-22;863;888,6;2019-08-24;1548;-44,25%;-49,66%
AMSTERDAM ACC;Netherlands;34;2020-08-23;930;888,3;2019-08-25;1753;-46,95%;-49,78%
AMSTERDAM ACC;Netherlands;35;2020-08-24;908;887,9;2019-08-26;1839;-50,63%;-49,76%
AMSTERDAM ACC;Netherlands;35;2020-08-25;816;888,3;2019-08-27;1765;-53,77%;-49,79%
AMSTERDAM ACC;Netherlands;35;2020-08-26;899;892,4;2019-08-28;1814;-50,44%;-49,61%
AMSTERDAM ACC;Netherlands;35;2020-08-27;882;893,4;2019-08-29;1846;-52,22%;-49,69%
AMSTERDAM ACC;Netherlands;35;2020-08-28;954;893,1;2019-08-30;1858;-48,65%;-49,67%
AMSTERDAM ACC;Netherlands;35;2020-08-29;871;894,3;2019-08-31;1565;-44,35%;-49,68%
AMSTERDAM ACC;Netherlands;35;2020-08-30;926;893,7;2019-09-01;1733;-46,57%;-49,63%
AMSTERDAM ACC;Netherlands;36;2020-08-31;976;903,4;2019-09-02;1836;-46,84%;-49,07%
AMSTERDAM ACC;Netherlands;36;2020-09-01;875;911,9;2019-09-03;1825;-52,05%;-48,84%
AMSTERDAM ACC;Netherlands;36;2020-09-02;899;911,9;2019-09-04;1803;-50,14%;-48,80%
AMSTERDAM ACC;Netherlands;36;2020-09-03;922;917,6;2019-09-05;1861;-50,46%;-48,54%
AMSTERDAM ACC;Netherlands;36;2020-09-04;975;920,6;2019-09-06;1852;-47,35%;-48,34%
AMSTERDAM ACC;Netherlands;36;2020-09-05;906;925,6;2019-09-07;1572;-42,37%;-48,09%
AMSTERDAM ACC;Netherlands;36;2020-09-06;958;930,1;2019-09-08;1740;-44,94%;-47,87%
